ASSERTION	AAEDAAEBAwAAAAAAAIjDQA==
RUN	io.microsamples.testz.simulation.GetRootsSimulation	getrootssimulation	1572903200171	 	3.2.1
USER	Get Remote Chachkies	1	START	1572903201266	1572903201266
USER	Get Remote Chachkies	2	START	1572903201372	1572903201372
REQUEST	1		get remote chachkies	1572903201305	1572903201438	OK	 
REQUEST	2		get remote chachkies	1572903201373	1572903201443	OK	 
USER	Get Remote Chachkies	1	END	1572903201266	1572903201466
USER	Get Remote Chachkies	2	END	1572903201372	1572903201466
USER	Get Remote Chachkies	3	START	1572903201472	1572903201472
REQUEST	3		get remote chachkies	1572903201473	1572903201530	OK	 
USER	Get Remote Chachkies	3	END	1572903201472	1572903201531
USER	Get Remote Chachkies	4	START	1572903201571	1572903201571
REQUEST	4		get remote chachkies	1572903201573	1572903201623	OK	 
USER	Get Remote Chachkies	4	END	1572903201571	1572903201624
USER	Get Remote Chachkies	5	START	1572903201672	1572903201672
REQUEST	5		get remote chachkies	1572903201672	1572903201732	OK	 
USER	Get Remote Chachkies	5	END	1572903201672	1572903201733
USER	Get Remote Chachkies	6	START	1572903201772	1572903201772
REQUEST	6		get remote chachkies	1572903201773	1572903201825	OK	 
USER	Get Remote Chachkies	6	END	1572903201772	1572903201826
USER	Get Remote Chachkies	7	START	1572903201873	1572903201873
REQUEST	7		get remote chachkies	1572903201873	1572903201918	OK	 
USER	Get Remote Chachkies	7	END	1572903201873	1572903201920
USER	Get Remote Chachkies	8	START	1572903201972	1572903201972
REQUEST	8		get remote chachkies	1572903201973	1572903202020	OK	 
USER	Get Remote Chachkies	8	END	1572903201972	1572903202021
USER	Get Remote Chachkies	9	START	1572903202083	1572903202083
REQUEST	9		get remote chachkies	1572903202084	1572903202135	OK	 
USER	Get Remote Chachkies	9	END	1572903202083	1572903202136
USER	Get Remote Chachkies	10	START	1572903202182	1572903202182
REQUEST	10		get remote chachkies	1572903202182	1572903202237	OK	 
USER	Get Remote Chachkies	10	END	1572903202182	1572903202238
USER	Get Remote Chachkies	11	START	1572903202283	1572903202283
REQUEST	11		get remote chachkies	1572903202284	1572903202330	OK	 
USER	Get Remote Chachkies	11	END	1572903202283	1572903202331
USER	Get Remote Chachkies	12	START	1572903202383	1572903202383
REQUEST	12		get remote chachkies	1572903202384	1572903202423	OK	 
USER	Get Remote Chachkies	12	END	1572903202383	1572903202424
USER	Get Remote Chachkies	13	START	1572903202483	1572903202483
REQUEST	13		get remote chachkies	1572903202484	1572903202534	OK	 
USER	Get Remote Chachkies	13	END	1572903202483	1572903202536
USER	Get Remote Chachkies	14	START	1572903202583	1572903202583
REQUEST	14		get remote chachkies	1572903202584	1572903202628	OK	 
USER	Get Remote Chachkies	14	END	1572903202583	1572903202629
USER	Get Remote Chachkies	15	START	1572903202683	1572903202683
REQUEST	15		get remote chachkies	1572903202684	1572903202728	OK	 
USER	Get Remote Chachkies	15	END	1572903202683	1572903202729
USER	Get Remote Chachkies	16	START	1572903202783	1572903202783
REQUEST	16		get remote chachkies	1572903202784	1572903202816	OK	 
USER	Get Remote Chachkies	16	END	1572903202783	1572903202818
USER	Get Remote Chachkies	17	START	1572903202882	1572903202882
REQUEST	17		get remote chachkies	1572903202883	1572903202922	OK	 
USER	Get Remote Chachkies	17	END	1572903202882	1572903202923
USER	Get Remote Chachkies	18	START	1572903202983	1572903202983
REQUEST	18		get remote chachkies	1572903202983	1572903203022	OK	 
